,open,high,low,close,volume,symbol
2019-04-16,86.96,86.97,86.82,86.85,11543849.0,HYG
2019-04-15,86.95,86.95,86.83,86.9,13940030.0,HYG
2019-04-12,86.93,87.01,86.792,86.96,17442764.0,HYG
2019-04-11,86.69,86.86,86.65,86.83,20976278.0,HYG
2019-04-10,86.43,86.7,86.43,86.7,16766965.0,HYG
2019-04-09,86.33,86.4166,86.27,86.32,19118991.0,HYG
2019-04-08,86.39,86.41,86.31,86.38,11472065.0,HYG
2019-04-05,86.36,86.5,86.34,86.43,14226984.0,HYG
2019-04-04,86.15,86.28,86.13,86.27,14435846.0,HYG
2019-04-03,86.2,86.31,86.1,86.14,13746549.0,HYG
2019-04-02,86.09,86.14,85.94,86.11,15129316.0,HYG
2019-04-01,86.21,86.28,86.05,86.07,21353906.0,HYG
2019-03-29,86.32,86.53,86.3,86.47,22358907.0,HYG
2019-03-28,86.09,86.25,86.04,86.25,19706712.0,HYG
2019-03-27,86.07,86.24,85.88,86.08,16706714.0,HYG
2019-03-26,85.95,86.15,85.885,86.02,18762718.0,HYG
2019-03-25,85.78,85.91,85.65,85.81,23592101.0,HYG
2019-03-22,86.02,86.05,85.75,85.84,27030429.0,HYG
2019-03-21,86.06,86.26,86.04,86.15,16400659.0,HYG
2019-03-20,85.81,86.3,85.65,86.17,31184375.0,HYG
2019-03-19,85.81,85.96,85.75,85.8,14067152.0,HYG
2019-03-18,85.79,85.83,85.67,85.75,10498907.0,HYG
2019-03-15,85.76,85.88,85.75,85.78,21775322.0,HYG
2019-03-14,85.72,85.83,85.6781,85.7,12342490.0,HYG
2019-03-13,85.58,85.77,85.56,85.76,24524828.0,HYG
2019-03-12,85.31,85.58,85.29,85.53,20180538.0,HYG
2019-03-11,85.07,85.39,85.05,85.38,17922571.0,HYG
2019-03-08,84.98,85.12,84.81,85.1,21043440.0,HYG
2019-03-07,85.33,85.34,85.08,85.24,28101085.0,HYG
2019-03-06,85.4,85.42,85.26,85.3,16806359.0,HYG
2019-03-05,85.48,85.49,85.36,85.44,14510115.0,HYG
2019-03-04,85.71,85.75,85.335,85.48,16034388.0,HYG
2019-03-01,85.55,85.66,85.5,85.61,26455267.0,HYG
2019-02-28,85.78,85.83,85.7,85.75,21340574.0,HYG
2019-02-27,85.8,85.86,85.725,85.8,14818936.0,HYG
2019-02-26,85.72,85.87,85.67,85.77,16049257.0,HYG
2019-02-25,85.71,85.83,85.62,85.66,13698162.0,HYG
2019-02-22,85.52,85.67,85.49,85.59,12330288.0,HYG
2019-02-21,85.45,85.53,85.35,85.42,15479768.0,HYG
2019-02-20,85.46,85.55,85.33,85.5,9925728.0,HYG
2019-02-19,85.3,85.48,85.26,85.43,11317745.0,HYG
2019-02-15,85.28,85.46,85.28,85.4,24052000.0,HYG
2019-02-14,84.98,85.22,84.855,85.13,19406653.0,HYG
2019-02-13,85.29,85.31,85.045,85.12,25088433.0,HYG
2019-02-12,85.08,85.27,85.07,85.24,20173975.0,HYG
2019-02-11,84.77,84.87,84.7,84.83,10051836.0,HYG
2019-02-08,84.71,84.81,84.58,84.79,16728070.0,HYG
2019-02-07,84.83,84.896,84.66,84.81,27119428.0,HYG
2019-02-06,85.11,85.21,85.02,85.1,25936784.0,HYG
2019-02-05,84.94,85.27,84.925,85.18,33188261.0,HYG
2019-02-04,84.69,84.93,84.61,84.88,15968416.0,HYG
2019-02-01,84.66,84.76,84.535,84.68,24749886.0,HYG
2019-01-31,84.88,85.24,84.88,85.11,27070447.0,HYG
2019-01-30,84.34,85.03,84.33,84.9,25993464.0,HYG
2019-01-29,84.35,84.35,84.03,84.23,18716968.0,HYG
2019-01-28,84.19,84.33,84.07,84.28,14694057.0,HYG
2019-01-25,84.36,84.49,84.34,84.41,16775229.0,HYG
2019-01-24,84.08,84.22,83.935,84.2,17875488.0,HYG
2019-01-23,84.06,84.23,83.87,84.11,18529448.0,HYG
2019-01-22,84.33,84.34,83.83,83.94,25504299.0,HYG
2019-01-18,84.42,84.67,84.39,84.5,36236412.0,HYG
2019-01-17,83.94,84.29,83.89,84.26,24574400.0,HYG
2019-01-16,84.01,84.14,83.96,84.03,26508132.0,HYG
2019-01-15,83.62,83.94,83.55,83.9,24799066.0,HYG
2019-01-14,83.67,83.77,83.55,83.62,20137747.0,HYG
